member-id,publisher,prefix,pubs-since-2017,doi-checked,force-https
9478,"Fondo Editorial Remington","10.22209",189,"10.22209/mensi.n6a12",false
9479,"Carleton University","10.22215",76,"10.22215/1/conf/dp2017.1",true
8471,"Universitas Islam Indonesia (Islamic University of Indonesia)","10.20885",254,"10.20885/jabis.vol17.iss1",false
9491,null,null,0,null,null
9493,"Agricultura, Sociedad y Desarrollo","10.22231",45,"10.22231/asyd.v14i1.521",false
4757,"National Institute of Advanced Industrial Science","10.9795",19,"10.9795/bullgsj.68.1",true
9496,"Mizoram University","10.22232",10,"10.22232/stj.2017.05.01.09",false
9498,"University of Muhammadiyah Prof. Hamka (UHAMKA)","10.22236",58,"10.22236/jer_vol2issue1pp1-8",false
9495,"British Small Animal Veterinary Association","10.22233",219,"10.22233/20412495.0617.3",true
9494,"Universidad Catolica de Uruguay","10.22235",116,"10.22235/d.v0i27.1496",false
9501,"Revista Cerrados","10.22238",34,"10.22238/rc24482692v15n22017p46a70",false
9502,null,null,0,null,null
9514,"Korean Association For Learner-Centered Curriculum And Instruction","10.22251",1021,"10.22251/jlcci.2018.18.1.817",false
9515,"Amur State University","10.22250",70,"10.22250/isu.2017.52.37-43",false
9512,null,null,0,null,null
9506,"Korean Academy of Leadership","10.22243",26,"10.22243/tklq.2017.9.1.63",false
9504,"The Society of Internal Korean Medicine","10.22246",114,"10.22246/jikm.2017.38.5.689",true
9505,null,null,0,null,null
9510,null,null,0,null,null
9511,"EverScience Publications","10.22247",16,"10.22247/ijcna/2018/49344",false
9508,"Edra SpA","10.23822",201,"10.23822/eurannaci.1764-1489.41",false
9509,null,null,0,null,null
9520,"Korean Psychological Association","10.22257",24,"10.22257/kjp.2018.03.37.1.33",false
9519,null,null,0,null,null
9516,"PUBVET","10.22256",275,"10.22256/pubvet.v12n3a47.1-8",false
9517,null,null,0,null,null
191,null,null,0,null,null
86,"FASEB","10.1096",897,"10.1096/fj.201700480r",false
246,"Cold Spring Harbor Laboratory","10.1101",17892,"10.1101/250803",true
3,"American Association of Physics Teachers (AAPT)","10.1119",750,"10.1119/1.5021436",false
231,"Acoustical Society of America (ASA)","10.1121",5397,"10.1121/1.5011952",false
17,"American Scientific Publishers","10.1166",9603,"10.1166/asl.2017.7384",false
232,"American Society for Clinical Investigation","10.1172",1128,"10.1172/jci98463",true
1302,"Oncology Nursing Society (ONS)","10.1188",296,"10.1188/18.cjon.104-107",true
183,null,null,0,null,null
186,"Society of Exploration Geophysicists","10.1190",3635,"10.1190/geo2016-0667.1",true
108,"Institute of Mathematical Statistics","10.1214",1296,"10.1214/18-ejp134",true
73,"Duke University Press","10.1215",2974,"10.1215/9780822372493",true
332,"Japanese Pharmacological Society","10.1254",126,"10.1254/fpj.149.214",true
326,"Genetics Society of Japan","10.1266",44,"10.1266/ggs.17-00041",true
269,"Japan Society for Bioscience, Biotechnology, and Agrochemistry","10.1271",47,"10.1271/kagakutoseibutsu.55.161",true
21,"Medical Association of Nippon Medical School","10.1272",141,"10.1272/jnms.84.237",true
310,"Westburn Publishers","10.1362",68,"10.1362/147539217x14909732699499",false
259,"Guttmacher Institute","10.1363",67,"10.1363/intsexrephea.43.1.fm",false
359,"SAGE Publications","10.1369",86,"10.1369/0022155418768222",false
1,"Annals of Family Medicine","10.1370",206,"10.1370/afm.2107",false
340,"Public Library of Science (PLoS)","10.1371",31219,"10.1371/journal.pone.0191985",false
160,null,null,0,null,null
358,"Intellect","10.1386",2308,"10.1386/ijcis.11.3.205_1",false
352,"UPV/EHU Press","10.1387",480,"10.1387/hc.18090",false
382,"Joule Inc.","10.1503",1104,"10.1503/cmaj.171377",false
384,"Commonwealth Forestry Association","10.1505",75,"10.1505/146554817821865072",false
386,"Japan Endocrine Society","10.1507",274,"10.1507/endocrj.ej17-0177",true
353,"Sigma Xi","10.1511",173,"10.1511/2017.105.4.224",true
393,"Society for Neuroscience","10.1523",1725,"10.1523/jneurosci.1799-17.2017",false
410,"Japanese Society for Artificial Intelligence","10.1527",70,"10.1527/tjsai.a-g82",true
412,"Carden Jennings Publishing Co.","10.1532",82,"10.1532/hsf.1842",false
414,"Genetics Society of America","10.1534",919,"10.1534/g3.117.300397",false
434,"American Academy of Implant Dentistry","10.1563",121,"10.1563/aaid-joi-d-17-00021",false
433,"Research Information Ltd.","10.1564",68,"10.1564/v28_jun_01",false
526,"Aquatic Mammals Journal","10.1578",101,"10.1578/am.43.3.2017.245",true
1864,null,null,0,null,null
535,null,null,0,null,null
575,"American Society of Plant Taxonomists","10.1600",85,"10.1600/036364417x695998",false
2826,null,null,0,null,null
612,null,null,0,null,null
622,"Tohoku University Medical Press","10.1620",153,"10.1620/tjem.244.123",true
631,"Japanese Society for Complementary & Alternative Medicine","10.1625",23,"10.1625/jcam.14.1",true
629,"Mohr Siebeck","10.1628",891,"10.1628/000389917x15126389016984",false
636,"Ubiquity Press, Ltd.","10.1629",61,"10.1629/uksg.399",true
635,"Zhejiang University Press","10.1631",413,"10.1631/fitee.1500295",true
574,null,null,0,null,null
638,"Alphamed Press","10.1634",385,"10.1634/theoncologist.2017-0158",false
1210,"Academy of Natural Sciences of Philadelphia","10.1635",4,"10.1635/053.166.0103",false
1211,"American Arachnological Society","10.1636",62,"10.1636/joa-s-17-001.1",false
1215,"American Fern Society","10.1640",22,"10.1640/0002-8444-108.1.27",false
1217,"American Ornithologists' Union","10.1642",165,"10.1642/auk-16-222.1",false
1220,"American Society of Parasitologists","10.1645",171,"10.1645/17-81",false
1224,"Coleopterists Society","10.1649",133,"10.1649/0010-065x-72.1.166",false
1225,"Cooper Ornithological Society","10.1650",128,"10.1650/condor-16-234.1",false
1228,"Florida Entomological Society","10.1653",178,"10.1653/024.100.0242",false
1229,"Helminthological Society","10.1654",39,"10.1654/1525-2647-84.2.159",false
1230,"Herpetologists League","10.1655",73,"10.1655/herpetologica-d-16-00083.1",false
1234,"Humboldt Field Research Institute","10.1656",189,"10.1656/058.016.0319",false
1231,"Institute of Arctic and Alpine Research (INSTAAR)","10.1657",63,"10.1657/aaar0017-051",false
1236,"Kansas Academy of Science","10.1660",39,"10.1660/062.120.0413",false
1240,"New York Entomological Society","10.1664",27,"10.1664/1947-5144-122.3.398",false
1241,null,null,0,null,null
1243,"Radiation Research Society","10.1667",226,"10.1667/rr14862.1",false
860,"Society for Sedimentary Geology","10.2110",190,"10.2110/jsr.2017.41",false
1249,"University of Notre Dame","10.1674",76,"10.1674/0003-0031-178.1.1",false
1250,"Waterbird Society","10.1675",90,"10.1675/063.040.0304",false
1251,"Wilson Ornithological Society","10.1676",127,"10.1676/16-086.1",false
739,"British Institute of Non-Destructive Testing (BINDT)","10.1784",94,"10.1784/insi.2018.60.3.161",false
793,"Springer Publishing Company","10.1891",720,"10.1891/0730-0832.36.6.359",false
1256,"Beta Beta Biological Society","10.1893",27,"10.1893/0005-3155-88.2.101",false
1255,"Southwestern Association of Naturalists","10.1894",48,"10.1894/0038-4909-62.2.162",false
818,null,null,0,null,null
1257,"Northwestern Naturalist","10.1898",38,"10.1898/nwn16-25.1",false
825,"Society for Biomedical Diabetes Research (SBDR)","10.1900",16,"10.1900/rds.2017.14.372",false
3201,null,null,0,null,null
2449,"Collegium Basilea","10.4024",22,"10.4024/n04th17a.ntp.13.01",false
845,"Ovid Technologies (Wolters Kluwer Health)","10.2106",875,"10.2106/jbjs.16.01295",true
1260,"Coastal Education and Research Foundation","10.2112",351,"10.2112/jcoastres-d-16-00180.1",false
864,"Society of Fiber Science and Technology Japan","10.2115",226,"10.2115/fiberst.2018-0002",true
899,"Japan Society of Personality Psychology","10.2132",43,"10.2132/personality.26.3.13",true
903,"Soil Science Society of America","10.2136",393,"10.2136/sssaj2017.08.0303",true
894,"American Society of Health System Pharmacists","10.2146",469,"10.2146/cor170007",false
925,"University of Tokushima Faculty of Medicine","10.2152",89,"10.2152/jmi.64.193",true
945,"IWA Publishing","10.2166",2149,"10.2166/wst.2017.354",false
959,"Logical Methods in Computer Science e.V.","10.2168",25,"10.2168/lmcs-12(3:4)2016",true
961,"Cornell Laboratory of Ornithology","10.2173",78,"10.2173/nb.virdac1.01",true
965,"Bentham Science Publishers Ltd.","10.2174",13916,"10.2174/0929867325666180111093937",false
1006,null,null,0,null,null
1010,"JMIR Publications Inc.","10.2196",3837,"10.2196/jmir.7668",false
1012,"Information Processing Society of Japan","10.2197",178,"10.2197/ipsjjip.25.351",true
1015,"Morgan & Claypool Publishers LLC","10.2200",97,"10.2200/s00829ed1v01y201802com013",true
1022,null,null,0,null,null
1039,"Tokyo Dental College","10.2209",31,"10.2209/tdcpublication.2017-0007",true
1057,"Future Medicine Ltd","10.2217",2746,"10.2217/imt-2017-0134",true
5235,"Edinburgh University Library","10.2218",150,"10.2218/ijdc.v11i2.386",false
1058,"Railway Technical Research Institute","10.2219",62,"10.2219/rtriqr.58.2_153",true
1063,null,null,0,null,null
1078,"National Library of Serbia","10.2298",4096,"10.2298/zmspn1733079n",false
1112,"American Accounting Association","10.2308",760,"10.2308/accr-51815",false
1429,"Kansas Entomological Society","10.2317",19,"10.2317/jkes1703.1",false
1164,"The Angle Orthodontist (EH Angle Education & Research Foundation)","10.2319",212,"10.2319/051817-338.1",false
1161,"Ornithological Society of Japan","10.2326",37,"10.2326/osj.16.51",false
1151,null,null,0,null,null
1154,null,null,0,null,null
1183,"Acta Dermato-Venereologica","10.2340",641,"10.2340/16501977-2254",true
1185,"Yamaguchi University Medical Association","10.2342",7,"10.2342/ymj.66.11",true
1191,"American Dental Society of Anesthesiology (ADSA)","10.2344",65,"10.2344/anpr-64-02-04",false
1203,null,null,0,null,null
1204,null,null,0,null,null
1209,"Society for Imaging Science & Technology","10.2352",569,"10.2352/issn.2470-1173.2018.16.color-321",false
1290,"University of Arizona","10.2458",105,"10.2458/v7i2.20327",true
1295,"Japanese Society for Magnetic Resonance in Medicine","10.2463",121,"10.2463/mrms.mp.2017-0149",true
1319,"Japanese Society of Sciences in Swimming and Water Exercise","10.2479",3,"10.2479/swex.20.10",true
1328,"Society for Hard Tissue Regenerative Biology","10.2485",91,"10.2485/jhtb.26.297",true
1364,"WARC Limited","10.2501",73,"10.2501/jar-2017-027",false
1363,"Japanese Society for Horticultural Science","10.2503",190,"10.2503/hortj.okd-026",true
1383,"Japanese Society for Palliative Medicine","10.2512",87,"10.2512/jspm.12.211",true
1387,"American Institute of Aeronautics and Astronautics","10.2514",9441,"10.2514/6.2018-1983.c1",false
1403,null,null,0,null,null
1442,"Swiss Chemical Society","10.2533",170,"10.2533/chimia.2017.177",false
1443,"Department of Anatomy Keio University School of Medicine","10.2535",15,"10.2535/ofaj.94.7",true
1453,"Chelonian Conservation and Biology Journal","10.2744",34,"10.2744/ccb-1236.1",false
1527,"Japan Society of Information and Knowledge","10.2964",47,"10.2964/jsik_2017_019",true
1543,"American School of Classical Studies at Athens","10.2972",32,"10.2972/j.ctt21pxm23",false
1566,"National Shellfisheries Association","10.2983",87,"10.2983/035.036.0202",false
1568,"Cactus and Succulent Society of America","10.2985",64,"10.2985/015.089.0406",false
1569,"The American Mosquito Control Association","10.2987",79,"10.2987/17-6690.1",false
1571,"The Biological Society of Washington","10.2988",32,"10.2988/17-00009",false
1572,null,null,0,null,null
1591,"Carnegie Museum of Natural History","10.2992",11,"10.2992/007.084.0404",false
1592,"Society of Ethnobiology","10.2993",52,"10.2993/0278-0771-37.4.719",false
1593,"Brazilian Herpetological Society","10.2994",25,"10.2994/sajh-d-16-00023.1",false
1616,"Agricultural History Society","10.3098",150,"10.3098/ah.2017.091.3.439",false
1605,"Museum of Comparative Zoology, Harvard University","10.3099",10,"10.3099/mcz46.1",false
1606,"Harvard University Botany Libraries","10.3100",21,"10.3100/hpib.v22iss1.2017.n5",false
1607,null,null,0,null,null
1604,"American Educational Research Association (AERA)","10.3102",309,"10.3102/0162373716685823",false
4795,null,null,0,null,null
1646,"Institute of Physical Optics","10.3116",36,"10.3116/16091833/18/4/201/2017",false
1647,"New England Botanical Club","10.3119",43,"10.3119/16-13",false
1648,"California Botanical Society","10.3120",40,"10.3120/0024-9637-64.1.6",false
1659,"Marshfield Clinic","10.21636",57,"10.21636/nfmc.nccrahs.youthwork.workingoutdoors.g.2017",true
1658,"American Board of Family Medicine (ABFM)","10.3122",176,"10.3122/jabfm.2018.01.170211",false
1664,null,null,0,null,null
1667,"Society of Exploration Geophysicists of Japan","10.3124",18,"10.3124/segj.70.124",true
1670,"Nepal Journals Online (JOL)","10.3126",2339,"10.3126/ojn.v7i1.18893",true
1683,"Architectural Institute of Japan","10.3130",1152,"10.3130/aije.83.77",true
1699,null,null,0,null,null
1709,"Ediciones Profesionales de la Informacion SL","10.3145",230,"10.3145/epi.2017.nov.07",true
1715,"Dietitians of Canada","10.3148",59,"10.3148/cjdpr-2017-036",false
1721,null,null,0,null,null
1738,"Japan Society for Fuzzy Theory and Intelligent Informatics","10.3156",51,"10.3156/jsoft.29.3_605",true
1741,"American Entomological Society","10.3157",115,"10.3157/061.143.0203",false
1742,"Field Museum of Natural History","10.3158",4,"10.3158/2158-5520-17.11.1",false
1743,"Torrey Botanical Society","10.3159",49,"10.3159/torrey-d-16-00050",false
1744,"Southern California Academy of Sciences","10.3160",19,"10.3160/soca-116-03-153-161.1",false
1748,"Berghahn Books","10.3167",835,"10.3167/mih.2017.080104",true
1775,null,null,0,null,null
1756,"American Society of Neuroradiology (ASNR)","10.3174",625,"10.3174/ajnr.a5571",false
1758,"Japan Society for Molecular Science","10.3175",6,"10.3175/molsci.11.a0094",true
2179,"Japan Society of Ultrasonics in Medicine","10.3179",129,"10.3179/jjmu.jjmu.r.108",true
1785,"Science Reviews 2000 LTD","10.3184",440,"10.3184/174751918x15208609622051",false
1771,"The Phytopathological Society of Japan","10.3186",34,"10.3186/jjphytopath.83.151",true
1792,null,null,0,null,null
1813,"International Society of Chromosome Botany","10.3199",40,"10.3199/iscb.12.86",true
1824,"College Art Association","10.3202",306,"10.3202/caa.reviews.2018.34",false
1835,"Periodica Polytechnica Budapest University of Technology and Economics","10.3311",502,"10.3311/pptr.11174",true
1846,"Royal Irish Academy","10.3318",80,"10.3318/bioe.2017.03",false
1861,"Bangladesh Journals Online (JOL)","10.3329",3097,"10.3329/sja.v15i2.35146",true
1880,"University of Zagreb, Department of Mathematics","10.3336",30,"10.3336/gm.52.2.05",true
1891,"Korean Society of Pediatric Nephrology","10.3339",28,"10.3339/jkspn.2017.21.2.165",false
1894,"Korean Society of Otorhinolaryngology-Head and Neck Surgery","10.3342",193,"10.3342/kjorl-hns.2017.00017",false
1895,"Korean Society for Laboratory Medicine (KAMJE)","10.3343",228,"10.3343/alm.2018.38.2.182",true
1896,"Korean Pain Society (KAMJE)","10.3344",62,"10.3344/kjp.2018.31.1.39",true
1902,"The Korean Association for the Study of the Liver","10.3350",73,"10.3350/cmh.2017.0112",true
1905,"Sheffield Hallam University","10.3351",23,"10.3351/ppp.2017.8845235448",false
3004,"XMLArchive","10.3352",47,"10.3352/jeehp.2017.14.23",true
1908,null,null,0,null,null
1914,"The Raptor Research Foundation, Inc.","10.3356",83,"10.3356/0892-1016-52.1.122",false
1927,"Institute of Information Science, IZUM","10.3359",11,"10.3359/oz1712065",false
1936,"Uspekhi Fizicheskikh Nauk (UFN) Journal","10.3367",303,"10.3367/ufne.2018.01.038281",true
1948,"Bulletin of the Peabody Museum of Natural History","10.3374",12,"10.3374/014.058.0101",false
1952,null,null,0,null,null
1959,"Linkoping University Electronic Press","10.3384",361,"10.3384/de-ethica.2001-8819.174345",false
7702,"Balai Penelitian Kehutanan Makassar (Forestry Research Institute of Makassar)","10.18330",24,"10.18330/jwallacea.2017.vol6iss1pp31-40",false
8876,"RAHIS - Revista de Administracao Hospitalar e Inovacao em Saude","10.21450",46,"10.21450/rahis.v13i3.4264",false
1965,"Frontiers Media SA","10.3389",28009,"10.3389/fpsyg.2017.00968",true
1968,"MDPI AG","10.20944",58418,"10.20944/preprints201712.0059.v1",true
1967,"Regional Euro-Asian Biological Invasions Centre Oy (REABIC)","10.3391",218,"10.3391/ai.2017.12.3.13",false
1972,null,null,0,null,null
1979,"International Federation of Infection Control","10.3396",13,"10.3396/ijic.v14i1.18263",false
1982,"Western North American Naturalist","10.3398",56,"10.3398/064.077.0214",false
1983,"The Editorial Committee of Annals of Vascular Diseases","10.3400",114,"10.3400/avd.cr.16-00089",true
2002,"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences","10.3409",35,"10.3409/azc.60_1.01",false
2013,"Missouri Botanical Garden Press","10.3417",93,"10.3417/2013032",false
2026,"China Science Publishing & Media Ltd.","10.3724",1163,"10.3724/sp.j.1042.2017.01565",false
2046,null,null,0,null,null
2050,"The Materials Research Society of Korea","10.3740",116,"10.3740/mrsk.2017.27.12.658",false
2051,"Korea Water Resources Association","10.3741",56,"10.3741/jkwra.2017.50.8.537",false
2052,null,null,0,null,null
2053,"Korean Society for Information Management","10.3743",15,"10.3743/kosim.2017.34.1.197",false
2054,"The Society of Naval Architects of Korea","10.3744",70,"10.3744/snak.2017.54.1.71",false
2055,"Korea Information Processing Society","10.3745",145,"10.3745/jips.04.0047",false
2056,"The Korean Society of Food Science and Nutrition","10.3746",189,"10.3746/jkfn.2017.46.12.1419",false
2062,"Mineralogical Association of Canada","10.3749",79,"10.3749/canmin.1700037",false
2069,null,null,0,null,null
2072,"Japanese Coral Reef Society","10.3755",9,"10.3755/galaxea.19.1_19",true
2088,"Archaeological Institute of America","10.3764",167,"10.3764/aja.122.2.fm",false
2087,"American Academy of Audiology","10.3766",199,"10.3766/jaaa.17072",false
2084,"Naturalis Biodiversity Center","10.3767",62,"10.3767/blumea.2017.62.03.02",false
2092,"The Japan Institute of Energy","10.3775",117,"10.3775/jie.96.250",true
253,"Project Euclid","10.3792",33,"10.3792/pjaa.93.86",true
2107,"The Korean Society of Fisheries and Ocean Technology","10.3796",66,"10.3796/ksft.2017.53.4.471",false
2109,null,null,0,null,null
2113,"The Plankton Society of Japan/The Japanese Association of Benthology","10.3800",40,"10.3800/pbr.13.17",true
2114,null,null,0,null,null
2119,"Korean Endocrine Society (KAMJE)","10.3803",89,"10.3803/enm.2018.33.1.121",true
2132,null,null,0,null,null
2150,null,null,0,null,null
2151,"Ecology and Civil Engineering Society","10.3825",33,"10.3825/ece.20.127",true
2168,"Korean Pharmacopuncture Institute","10.3831",18,"10.3831/kpi.2017.20.003",false
2169,"Italian Society of Sivilculture and Forest Ecology (SISEF)","10.3832",197,"10.3832/ifor2316-010",false
2174,"Korean Society for Internet Information (KSII)","10.3837",372,"10.3837/tiis.2017.11.019",false
2173,"JStage (Ornithological Society of Japan)","10.3838",23,"10.3838/jjo.66.45",true
2184,"Wolfram Research, Inc.","10.25088",30,"10.25088/complexsystems/26.2",false
2194,"SIGMA (Symmetry, Integrability and Geometry: Methods and Application)","10.3842",136,"10.3842/sigma.2017.029",false
2217,null,null,0,null,null
2222,"Journal of Infection in Developing Countries","10.3855",216,"10.3855/jidc.9698",true
2224,"Korean Society for Therapeutic Radiology and Oncology","10.3857",57,"10.3857/roj.2017.00458",true
2232,"Japanese Society of Health and Human Ecology","10.3861",32,"10.3861/kenko.83.4_111",true
2265,"Chinese Journal of Mechanical Engineering","10.3901",740,"10.3901/jme.2018.01.136",false
3042,"The Scientific and Technological Research Council of Turkey","10.3906",1717,"10.3906/zoo-1607-36",false
2297,"Science Alert","10.3923",1500,"10.3923/ijp.2018.224.238",true
2322,"Korean Physical Society","10.3938",834,"10.3938/jkps.72.21",true
2336,"Korean Society of Medical Education","10.3946",37,"10.3946/kjme.2017.46",false
2343,"Korean Society of Infectious Diseases and Korean Society for Chemotherapy (KAMJE)","10.3947",69,"10.3947/ic.2017.49.3.236",true
2346,"Society of Biomechanisms Japan","10.3951",12,"10.3951/sobim.42.1_59",true
4024,"Lithuanian Academy of Sciences","10.6001",228,"10.6001/biologija.v63i3.3577",false
2353,"South Carolina Entomological Society","10.3954",14,"10.3954/1523-5475-33.1.10",false
2354,"Northwest Scientific Association","10.3955",60,"10.3955/046.091.0113",false
2355,"Pacific Coast Entomological Society","10.3956",45,"10.3956/2017-93.2.71",false
2356,"Southern African Wildlife Management Association","10.3957",16,"10.3957/056.047.0024",false
2357,"Society of Southwestern Entomologists","10.3958",162,"10.3958/059.042.0419",false
2358,"Tree-Ring Society","10.3959",27,"10.3959/1536-1098-74.1.28",false
2350,"Korean Society for Preventive Medicine","10.3961",59,"10.3961/jpmph.17.035",true
2359,"The Econometric Society","10.3982",236,"10.3982/ecta13465",true
2363,"Zalozba ZRC","10.3986",160,"10.3986/wocrea/1/momowo1.18",true
2367,"Korean Neurological Association (KAMJE)","10.3988",137,"10.3988/jcn.2017.13.4.424",true
2371,"International Association of Online Engineering (IAOE)","10.3991",651,"10.3991/ijim.v11i6.7265",false
2396,"Entomological Society of Southern Africa","10.4001",66,"10.4001/003.025.0302",false
2398,"American Malacological Society","10.4003",29,"10.4003/006.035.0113",false
2422,"Annals of Mathematics, Princeton U","10.4007",71,"10.4007/annals.2017.185.1.9",false
2426,"Japan Society of Colour Material","10.4011",88,"10.4011/shikizai.90.51",true
2436,"Korean Society for Microbiology and Biotechnology","10.4014",277,"10.4014/mbl.1707.07002",false
2435,"National Taiwan University","10.4015",72,"10.4015/s1016237217500223",true
2451,"Universidade Estadual de Maringa","10.4025",1057,"10.4025/actascitechnol.v39i5.28908",false
